commander,drawrate (%),winrate (%),lossrate (%),non_draw_winrate (%),#games
The Howling Abomination,7.69,15.38,76.92,16.67,13
Abaddon the Despoiler,7.69,23.08,69.23,25.00,13
"Okaun, Eye of Chaos / Zndrsplt, Eye of Wisdom",23.08,15.38,61.54,20.00,13
Yargle and Multani,0.00,8.33,91.67,8.33,12
Moira and Teshar,16.67,25.00,58.33,30.00,12
"Rashmi, Eternities Crafter",8.33,33.33,58.33,36.36,12
Elminster,8.33,8.33,83.33,9.09,12
"Malcolm, Keen-Eyed Navigator / Rograkh, Son of Rohgahh",25.00,25.00,50.00,33.33,12
"Ikra Shidiqi, the Usurper / Rograkh, Son of Rohgahh",0.00,25.00,75.00,25.00,12
Sliver Overlord,0.00,8.33,91.67,8.33,12
"Anhelo, the Painter",41.67,33.33,25.00,57.14,12
"Naru Meha, Master Wizard",25.00,33.33,41.67,44.44,12
"Aragorn, King of Gondor",25.00,16.67,58.33,22.22,12
"Jeska, Thrice Reborn / Rograkh, Son of Rohgahh",0.00,9.09,90.91,9.09,11
"Jacob Hauken, Inspector // Hauken's Insight",9.09,27.27,63.64,30.00,11
"Atraxa, Praetors' Voice",18.18,18.18,63.64,22.22,11
"Dargo, the Shipwrecker / Malcolm, Keen-Eyed Navigator",9.09,9.09,81.82,10.00,11
"Xyris, the Writhing Storm",18.18,27.27,54.55,33.33,11
"Atla Palani, Nest Tender",0.00,9.09,90.91,9.09,11
"Malcolm, Keen-Eyed Navigator / Tevesh Szat, Doom of Fools",54.55,9.09,36.36,20.00,11
"Zhulodok, Void Gorger",0.00,36.36,63.64,36.36,11
"Varina, Lich Queen",10.00,10.00,80.00,11.11,10
Zimone and Dina,0.00,10.00,90.00,10.00,10
"Cultist of the Absolute / Vhal, Candlekeep Researcher",10.00,20.00,70.00,22.22,10
"Hurkyl, Master Wizard",20.00,20.00,60.00,25.00,10
Tiamat,0.00,20.00,80.00,20.00,10
"Nezahal, Primal Tide",0.00,30.00,70.00,30.00,10
"Malik, Grim Manipulator",10.00,10.00,80.00,11.11,10
The Locust God,0.00,20.00,80.00,20.00,10
"Jaxis, the Troublemaker",0.00,10.00,90.00,10.00,10
Heartless Hidetsugu,20.00,20.00,60.00,25.00,10
"Vadrok, Apex of Thunder",10.00,10.00,80.00,11.11,10
"Dargo, the Shipwrecker / Sidar Kondo of Jamuraa",0.00,20.00,80.00,20.00,10
"Chainer, Nightmare Adept",11.11,33.33,55.56,37.50,9
Galazeth Prismari,33.33,22.22,44.44,33.33,9
"Azusa, Lost but Seeking",0.00,22.22,77.78,22.22,9
"Kodama of the East Tree / Tevesh Szat, Doom of Fools",11.11,22.22,66.67,25.00,9
"Unctus, Grand Metatect",11.11,11.11,77.78,12.50,9
"Ikra Shidiqi, the Usurper / Ishai, Ojutai Dragonspeaker",22.22,11.11,66.67,14.29,9
"Zabaz, the Glimmerwasp",0.00,22.22,77.78,22.22,9
"Grazilaxx, Illithid Scholar",11.11,22.22,66.67,25.00,9
"Yusri, Fortune's Flame",33.33,33.33,33.33,50.00,9
"Elmar, Ulvenwald Informant / Wernog, Rider's Chaplain",0.00,25.00,75.00,25.00,8
Sen Triplets,12.50,25.00,62.50,28.57,8
"Extus, Oriq Overlord // Awaken the Blood Avatar",0.00,25.00,75.00,25.00,8
Gandalf the Grey,12.50,12.50,75.00,14.29,8
"Neheb, Dreadhorde Champion",0.00,25.00,75.00,25.00,8
